	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.Desert	rab.win.Grassland	diff.btw	diff.win	effect	overlap
SV2254	0.45720598095237	0.744836741839081	0.400664183002623	0.717504392727903	-0.967459867398475	-0.430003039129104	-1.5540433454528	-1.04795935799222	5.02725062864217	-0.19024493788505	0.397058831097046
SV2437	0.632404452771686	0.909039399370557	0.604594496231755	0.890188008520844	-1.77701021889971	-1.99567110765354	-1.52627044584813	0.545817100710258	4.79052761620634	0.0941757384862965	0.449448533007244
SV3305	0.426309092109901	0.825281123613214	0.399405434670406	0.788117868366619	-1.44677182394428	-1.95897062996165	-0.724072721320502	1.17191056700898	5.33524302456206	0.206195447830469	0.410468326058921
SV3306	0.695522580779878	0.938508889744073	0.636677950464973	0.925388625884756	-1.96298452495261	-2.1852984158825	-1.71473391690912	0.317116348865759	4.98054156700683	0.0575663758075608	0.464154414301203
SV4237	0.000377394643449346	0.00297782142835234	7.63952128909947e-05	0.000778532226425005	-0.595087701129872	-2.4996866948888	3.92607677473154	6.3067384991085	4.86926199837949	1.14456890639485	0.117539091405537
SV4698	0.210551950033982	0.539377811026105	0.196240365925723	0.546812926135212	-1.31176281598933	-1.97276436044912	-0.259114213033853	1.86054637029331	5.16173410159127	0.336957157199009	0.340992659512074
SV5295	0.67189195327019	0.889807332157103	0.714057445860063	0.916206071371606	-1.77158024920725	-1.77472091156462	-1.77084772053519	-0.239851448532533	4.89970056485978	-0.0446300482757886	0.482536765936762
SV5517	0.54709645512512	0.887154881313235	0.523116782889806	0.893350389109357	-0.480327182355302	-0.667100220442971	-0.220067673415075	0.656218044533057	5.14461567749918	0.115453690055615	0.444444448397068
SV6536	0.606686163394775	0.890851727351639	0.542876543471031	0.866176181243918	-1.84477697301006	-2.16292092244477	-1.46334057513974	0.630833886365401	4.92640479089787	0.109044874668443	0.43750000446972
SV6608	0.75282428956535	0.95104445651754	0.770847593923558	0.956642500834316	-1.67777005494863	-1.7775925805293	-1.61617593038766	0.0988914405196466	4.78427360095316	0.0180421008710027	0.487132353847635
